sample	pe	se	n_reads	main_lib	add_lib	n_clean	clean_paired	clean_single	qc_orphans	dc_orphans	n_aln	pri_aln	sec_aln	pe_aln	se_aln
zr5240_16	True	False	39870556	39870556	0	31127879	27802118	3325761	0	11338	62233701	30885686	31348015	27614144	3271542
zr5240_160	True	False	28750154	28750154	0	23872252	21403816	2468436	2467972	464	44147497	23596085	20551412	21135704	2460381
zr5240_161	True	False	49947876	49947876	0	41340442	36922546	4417896	0	530	79457206	40045322	39411884	35857458	4187864
zr5240_162	True	False	41422310	41422310	0	34593093	31038814	3554279	3554069	210	64088495	34043715	30044780	30528142	3515573
zr5240_163	True	False	26195372	26195372	0	22119705	20168066	1951639	1951219	0	34575053	21886683	12688370	19941882	1944801
zr5240_164	True	False	36893460	36893460	0	31140888	28210706	2930182	2930002	180	56466213	30553524	25912689	27638882	2914642
zr5240_165	True	False	35460622	35460622	0	29578188	26488676	3089512	3088476	1036	47619060	28718435	18900625	25749884	2968551
zr5240_166	True	False	43059528	43059528	0	36628754	33436506	3192248	3192127	121	67237896	36394500	30843396	33191518	3202982
zr5240_167	True	False	42400492	42400492	0	35990832	32776238	3214594	3214471	123	61314777	35589570	25725207	32381382	3208188
zr5240_168	True	False	40118242	40118242	0	33570926	30251936	3318990	0	140	63935726	33135578	30800148	29825436	3310142
zr5240_169	True	False	46559818	46559818	0	37797342	33522508	4274834	4274821	13	65501121	36765447	28735674	32624908	4140539
zr5240_17	True	False	27804120	27804120	0	22127723	19429134	2698589	2697341	0	37204632	21307883	15896749	18756794	2551089
zr5240_170	True	False	35451996	35451996	0	29454427	26444870	3009557	3009182	375	46302057	28451531	17850526	25536258	2915273
zr5240_171	True	False	35532616	35532616	0	29774740	27131332	2643408	2643395	13	49857033	29604658	20252375	26985146	2619512
zr5240_172	True	False	41631346	41631346	0	32966833	29576642	3390191	3380262	9929	55753259	32509573	23243686	29128072	3381501
zr5240_173	True	False	33064242	33064242	0	27119614	24052354	3067260	3066666	0	42293345	25710532	16582813	22845028	2865504
zr5240_174	True	False	34833394	34833394	0	28095115	24862354	3232761	3232409	352	51011420	27580171	23431249	24391640	3188531
zr5240_175	True	False	42948998	42948998	0	31856292	26035152	5821140	5820486	654	61843133	31249307	30593826	25580366	5668941
zr5240_176	True	False	59267500	59267500	0	47813324	41659186	6154138	6154067	71	86751794	47439159	39312635	41314624	6124535
zr5240_177	True	False	40798356	40798356	0	34241128	30945496	3295632	3295141	491	54138625	33344239	20794386	30115900	3228339
zr5240_178	True	False	35088284	35088284	0	29199240	26195320	3003920	3003874	46	58998338	29078323	29920015	26065590	3012733
zr5240_179	True	False	29978962	29978962	0	24392188	21750332	2641856	2641515	0	39165327	23582317	15583010	21040480	2541837
zr5240_18	True	False	49027596	49027596	0	39568838	35001722	4567116	0	1324	68406798	37409903	30996895	33248674	4161229
zr5240_180	True	False	42868494	42868494	0	35545842	31792116	3753726	3753498	228	63276226	34422889	28853337	30801532	3621357
zr5240_181	True	False	38467904	38467904	0	29917893	25821906	4095987	4095916	71	51545587	29392463	22153124	25393824	3998639
zr5240_182	True	False	42096412	42096412	0	34145299	30173562	3971737	3969798	1939	55452661	32825236	22627425	29068766	3756470
zr5240_183	True	False	34794648	34794648	0	29748875	27117532	2631343	2631205	138	47987249	29262426	18724823	26676100	2586326
zr5240_184	True	False	47032412	47032412	0	40071368	36390212	3681156	3680870	286	66658272	39689615	26968657	36003408	3686207
zr5240_185	True	False	29319144	29319144	0	22910359	19649898	3260461	3259765	696	35385586	20838827	14546759	18140052	2698775
zr5240_186	True	False	49029160	49029160	0	37344756	32187942	5156814	5152786	4028	71245406	36944892	34300514	31835100	5109792
zr5240_187	True	False	34014196	34014196	0	27210824	24040630	3170194	3169500	694	47976744	26804327	21172417	23668268	3136059
zr5240_188	True	False	64632928	64632928	0	51802791	44417658	7385133	7385072	61	99364462	51372640	47991822	44030570	7342070
zr5240_189	True	False	36136000	36136000	0	29820852	26642364	3178488	0	728	50360098	29493338	20866760	26322752	3170586
zr5240_19	True	False	29151802	29151802	0	24756369	22594246	2162123	2161706	0	43299377	24562692	18736685	22439538	2123154
zr5240_190	True	False	44413058	44413058	0	36203261	32319644	3883617	3883124	493	62170706	34924294	27246412	31152570	3771724
zr5240_191	True	False	38014650	38014650	0	31403918	28113272	3290646	3289578	1068	54223356	30971409	23251947	27744308	3227101
zr5240_192	True	False	31707478	31707478	0	26556593	23967776	2588817	2588477	340	58014707	26341443	31673264	23757146	2584297
zr5240_193	True	False	36662424	36662424	0	30443077	27290540	3152537	3152344	193	46868197	28628799	18239398	25815050	2813749
zr5240_194	True	False	34760268	34760268	0	28727837	25761690	2966147	2965976	171	51972980	28120914	23852066	25207394	2913520
zr5240_195	True	False	21819082	21819082	0	18347018	16662146	1684872	1684682	0	37515272	18172679	19342593	16495422	1677257
zr5240_196	True	False	40309556	40309556	0	32238632	28416008	3822624	3821512	1112	61655387	31951174	29704213	28139046	3812128
zr5240_197	True	False	27756274	27756274	0	22945621	20712268	2233353	2233275	78	40030632	22361441	17669191	20224236	2137205
zr5240_198	True	False	30339224	30339224	0	25137015	22423386	2713629	2713311	318	50046222	24973807	25072415	22253846	2719961
zr5240_199	True	False	41150858	41150858	0	34543648	31319020	3224628	3224516	112	65047569	34286232	30761337	31040868	3245364
zr5240_2	True	False	39633840	39633840	0	33166283	29659470	3506813	3506757	56	59743576	32189777	27553799	28822962	3366815
zr5240_20	True	False	28237308	28237308	0	23749577	21297370	2452207	2452201	6	46388327	23580326	22808001	21125488	2454838
zr5240_200	True	False	33854576	33854576	0	15514273	14014272	1500001	1434907	0	29684822	14939537	14745285	13608308	1331229
zr5240_201	True	False	31720922	31720922	0	16102187	14231480	1870707	1829228	0	30360470	15791911	14568559	14036510	1755401
zr5240_202	True	False	21790004	21790004	0	18131454	16269334	1862120	1862087	0	35380425	17975913	17404512	16110738	1865175
